# x_path held_b1_THz held_b2_THz held_b3_THz
3.4654739035 14.4212252184 16.5257794593 18.6447666916
3.4964563508 13.9728043270 16.2429550664 18.1900083454
3.5274387980 13.5625974659 15.9987101221 17.7219176888
3.5584212453 13.1960496585 15.7960836002 17.2407569962
3.5894036926 12.8781760379 15.6374493801 16.7467805014
3.6203861398 12.6133103684 15.5244036988 16.2402312838
3.6513685871 12.4048422565 15.4576808356 15.7213375286
3.6823510344 12.2549734859 15.1903079699 15.4371069711
3.7133334816 12.1645290149 14.6473262572 15.4615983389
3.7443159289 12.1328552733 14.0925438847 15.5292046161
3.7752983762 12.1578263659 13.5260711763 15.6371930644
3.8062808234 12.2359601317 12.9479656028 15.7821644078
3.8372632707 12.3582163763 12.3626263543 15.9601887126
3.8682457180 11.7567237587 12.5323149659 16.1669489483
3.8992281652 11.1432707015 12.7389266572 16.3978812126
3.9302106125 10.5174831045 12.9760519426 16.6483031682
3.9611930598 9.8787727106 13.2372143595 16.9135253013
3.9921755070 9.2262526682 13.5160650080 17.1889425256
4.0231579543 8.5586084319 13.8065257403 17.4701060153
4.0541404016 7.8738923572 14.1028853206 17.7527767844
4.0851228488 7.1691806183 14.3998566006 18.0329634710
4.1161052961 6.4399641623 14.6926038737 18.3069471608
4.1470877434 5.6789784384 14.9767490182 18.5712960614
4.1780701906 4.8736986128 15.2483636709 18.8228725794
4.2090526379 4.0000631913 15.5039530500 19.0588349737
4.2400350852 3.0020882856 15.7404355357 19.2766353536
4.2710175324 1.6751497458 15.9551208456 19.4740154018
4.3019999797 -1.6135585500 16.1456886694 19.6490008712
4.3329824270 -2.6839136552 16.3101689115 19.7998956230
4.3639648743 -3.3139352174 16.4469242026 19.9252757580
4.3949473215 -3.7323898692 16.5546350141 20.0239842225
4.4259297688 -4.0052414222 16.6322875115 20.0951261486
4.4569122161 -4.1606173817 16.6791641692 20.1380650998
4.4878946633 -4.2111760504 16.6948371164 20.1524203269
4.5188771106 -4.1631096679 16.6983826653 20.1483882675
4.5498595579 -4.0159964548 16.7089290297 20.1362746838
4.5808420051 -3.7599366843 16.7262069974 20.1160275482
4.6118244524 -3.3733497152 16.7497732640 20.0875607742
4.6428068997 -2.8079955584 16.7790182855 20.0507551468
4.6737893469 -1.9210866586 16.8131768485 20.0054596074
4.7047717942 1.0763070775 16.8513409693 19.9514928760
4.7357542415 2.5710581157 16.8924746750 19.8886453900
4.7667366887 3.5506143178 16.9354301840 19.8166815339
4.7977191360 4.3685176225 16.9789650003 19.7353421318
4.8287015833 5.0963170863 17.0217594567 19.6443471726
4.8596840305 5.7618475949 17.0624342800 19.5433987355
4.8906664778 6.3785775476 17.0995678099 19.4321840804
4.9216489251 6.9537635732 17.1317125643 19.3103788713
4.9526313723 7.4915335474 17.1574109120 19.1776504955
4.9836138196 7.9942796649 17.1752096781 19.0336614468
5.0145962669 8.4633676972 17.1836735683 18.8780727382
5.0455787141 8.8995307880 17.1813973501 18.7105473132
5.0765611614 9.3031031063 17.1670167739 18.5307534256
5.1075436087 9.6741660136 17.1392182523 18.3383679597
5.1385260559 10.0126435533 17.0967473405 18.1330796662
5.1695085032 10.3183671381 17.0384160831 17.9145922891
5.2004909505 10.5911207384 16.9631093001 17.6826275645
5.2314733977 10.8306732875 16.8697898945 17.4369280718
5.2624558450 11.0368024390 16.7575032646 17.1772599223
5.2934382923 11.2093123085 16.6253809031 16.9034152710
5.3244207395 11.3480469200 16.4726432603 16.6152146416
5.3554031868 11.4529005070 16.2986019450 16.3125090549
5.3863856341 11.5238254593 15.9951819535 16.1026613304
5.4173680813 11.5608384619 15.6631509193 15.8843196232
5.4483505286 11.5640252188 15.3163691787 15.6431694524
5.4793329759 11.5335440426 14.9548268949 15.3788980222
5.5103154231 11.4696285155 14.5785522464 15.0912868723
5.5412978704 11.3725893767 14.1876122933 14.7802112818
5.5722803177 11.2428157499 13.7821136327 14.4456393459
5.6032627650 11.0807758027 13.3622028465 14.0876307544
5.6342452122 10.8870169031 12.9280667455 13.7063352946
5.6652276595 10.6621653307 12.4799324150 13.3019910986
5.6962101068 10.4069255854 12.0180670652 12.8749226528
5.7271925540 10.1220793280 11.5427776948 12.4255385850
5.7581750013 9.8084839849 11.0544105720 11.9543292429
5.7891574486 9.4670710413 10.5533505405 11.4618640759
5.8201398958 9.0988440441 10.0400201571 10.9487888312
5.8511223431 8.7048763361 9.5148786689 10.4158225759
5.8821047904 8.2863085379 8.9784208360 9.8637545520
5.9130872376 7.8443457940 8.4311756099 9.2934408765
5.9440696849 7.3802547996 7.8737046727 8.7058010931
5.9750521322 6.8953606215 7.3066008477 8.1018145854
6.0060345794 6.3910433282 6.7304863880 7.4825168603
6.0370170267 5.8687344425 6.1460111516 6.8489957092
6.0679994740 5.3299132315 5.5538506723 6.2023872563
6.0989819212 4.7761028449 4.9547041338 5.5438719030
6.1299643685 4.2088663187 4.3492922562 4.8746701768
6.1609468158 3.6298024540 3.7383551031 4.1960384934
6.1919292630 3.0405415879 3.1226498186 3.5092648422
6.2229117103 2.4427412667 2.5029483019 2.8156644027
6.2538941576 1.8380818381 1.8800348298 2.1165751035
6.2848766048 1.2282619731 1.2547036340 1.4133531317
6.3158590521 0.6149941339 0.6277564434 0.7073684025
