phase,magnetic_state,source,path,natoms,total_frames,valid_frames,volume_per_atom_A3,target_temperature_K,mean_temperature_K,min_temperature_K,max_temperature_K,mean_pressure_GPa,min_pressure_GPa,max_pressure_GPa,mean_energy_eV_atom,min_energy_eV_atom,max_energy_eV_atom,mean_force_rms_eV_A,mean_displacement_rms_A,mean_abs_magnetization_Bohr_atom
BCC,non-magnetic,2.43_5500K,dataset/bcc/non-mag/2.43_5500K.npz,128,400,399,7.174409052995837,5500.0,5347.062560576245,3125.996826171875,6462.60498046875,265.6360432330827,233.7550048828125,273.2850036621094,-4477.123327220898,-4477.568427651734,-4476.981814025593,4.154189138832012,0.38274193750385854,0.0
BCC,non-magnetic,2.43_6000K,dataset/bcc/non-mag/2.43_6000K.npz,128,400,399,7.174409052995837,6000.0,5639.351440735628,3134.34326171875,6973.18505859375,266.02614358313997,233.6790008544922,272.8800048828125,-4477.118058887776,-4477.568459734596,-4477.009515742717,4.205282836711504,0.4032747062716722,0.0
BCC,non-magnetic,2.44_4000K,dataset/bcc/non-mag/2.44_4000K.npz,128,400,399,7.26336012908252,4000.0,3742.6611725847824,2097.317138671875,4581.49365234375,238.53175992654977,219.6409912109375,244.135009765625,-4477.538478574835,-4477.698905088018,-4477.445278334181,3.3722468188805927,0.37181814892038156,0.0
BCC,non-magnetic,2.44_4500K,dataset/bcc/non-mag/2.44_4500K.npz,128,400,399,7.26336012908252,4500.0,4346.913587068257,2295.715576171875,5247.25146484375,244.61461392739662,219.7580108642578,250.9560089111328,-4477.405914503905,-4477.6983301869,-4477.282959681627,3.668147261635089,0.3761182868302863,0.0
BCC,non-magnetic,2.44_5000K,dataset/bcc/non-mag/2.44_5000K.npz,128,400,399,7.26336012908252,5000.0,4610.295867843437,2267.6943359375,5701.59521484375,244.08476731532198,220.1020050048828,251.41001892089844,-4477.424429492355,-4477.698108900933,-4477.287241481442,3.7219303350351898,0.39744123366349815,0.0
BCC,non-magnetic,2.44_5500K,dataset/bcc/non-mag/2.44_5500K.npz,128,400,399,7.26336012908252,5500.0,5116.829404443726,3025.16064453125,6307.66748046875,249.8471381012957,219.9189910888672,255.4600067138672,-4477.298212090355,-4477.697999307076,-4477.19107620728,3.953609551822036,0.4686047671155635,0.0
BCC,non-magnetic,2.44_6000K,dataset/bcc/non-mag/2.44_6000K.npz,128,400,399,7.26336012908252,6000.0,5484.531154546523,3181.1494140625,7006.46484375,253.67414909496642,218.66201782226562,263.01800537109375,-4477.2167352206125,-4477.6979210615855,-4477.030221238173,4.1557536878649,0.4424139793859764,0.0
BCC,non-magnetic,2.45_4000K,dataset/bcc/non-mag/2.45_4000K.npz,128,400,399,7.353043416289107,4000.0,3710.6048914400258,2039.8465576171875,4566.4404296875,225.64479298221138,206.47900390625,231.9239959716797,-4477.6444972293,-4477.821894093304,-4477.528187235124,3.226642548045787,0.3809167197474919,0.0
BCC,non-magnetic,2.45_4500K,dataset/bcc/non-mag/2.45_4500K.npz,128,400,399,7.353043416289107,4500.0,4212.365402642348,2589.53857421875,5063.4580078125,228.9611688676036,206.3159942626953,235.02099609375,-4477.575768450361,-4477.821979744331,-4477.459712926401,3.532200780344609,0.3634157451872548,0.0
BCC,non-magnetic,2.45_5000K,dataset/bcc/non-mag/2.45_5000K.npz,128,400,399,7.353043416289107,5000.0,4544.539556288181,3019.162353515625,5711.26708984375,231.10551181114408,205.31101989746094,237.8979949951172,-4477.537129924464,-4477.821973977855,-4477.402847720943,3.6858202503878608,0.39549223415454543,0.0
BCC,non-magnetic,2.45_5500K,dataset/bcc/non-mag/2.45_5500K.npz,128,400,399,7.353043416289107,5500.0,5179.6651987635105,2794.0849609375,6107.80615234375,236.63569736719728,205.8350067138672,246.8520050048828,-4477.411263784434,-4477.821378942438,-4477.21411165109,3.9838004951879507,0.3771306540990642,0.0
BCC,non-magnetic,2.45_6000K,dataset/bcc/non-mag/2.45_6000K.npz,128,400,399,7.353043416289107,6000.0,5638.730501179707,2876.66650390625,6562.0322265625,239.15423622226953,205.218994140625,247.7360076904297,-4477.365110665946,-4477.820740685561,-4477.219529248843,4.171240341423578,0.3989335389278336,0.0
BCC,non-magnetic,2.46_4000K,dataset/bcc/non-mag/2.46_4000K.npz,128,400,399,7.443461915920132,4000.0,3879.7682248834976,1991.7327880859375,4588.38427734375,213.97431609266084,193.73500061035156,219.48501586914062,-4477.737815090983,-4477.939522929618,-4477.645488408084,3.313205027144996,0.36193014236418286,0.0
BCC,non-magnetic,2.46_4500K,dataset/bcc/non-mag/2.46_4500K.npz,128,400,399,7.443461915920132,4500.0,4297.320076925713,2591.242919921875,5171.46142578125,218.50855746544096,192.7670135498047,225.5830078125,-4477.641452003719,-4477.9391139212275,-4477.506217062867,3.4861262808288926,0.3919786360158793,0.0
BCC,non-magnetic,2.46_5000K,dataset/bcc/non-mag/2.46_5000K.npz,128,400,399,7.443461915920132,5000.0,4758.516819392231,3116.9873046875,5880.35595703125,222.03263958235434,193.25601196289062,226.4499969482422,-4477.576960419025,-4477.939093867712,-4477.488025973885,3.703753382352054,0.4249567586711356,0.0
BCC,non-magnetic,2.46_5500K,dataset/bcc/non-mag/2.46_5500K.npz,128,400,399,7.443461915920132,5500.0,5298.273273515821,3078.41259765625,6357.955078125,224.17649695986793,194.0989990234375,231.36900329589844,-4477.520400132241,-4477.938199211549,-4477.399694505924,3.845461338037145,0.40351014490857934,0.0
BCC,non-magnetic,2.46_6000K,dataset/bcc/non-mag/2.46_6000K.npz,128,400,399,7.443461915920132,6000.0,5557.313590372415,3422.04638671875,6821.82275390625,231.65788307285547,193.8140106201172,240.54600524902344,-4477.376615021611,-4477.9384142644085,-4477.210691998335,4.034527310691628,0.5772385681267044,0.0
BCC,non-magnetic,2.47_4000K,dataset/bcc/non-mag/2.47_4000K.npz,128,400,399,7.5346186292801525,4000.0,3891.5030655251408,2501.6279296875,4800.185546875,201.5505541273227,181.24000549316406,208.8070068359375,-4477.867900472424,-4478.050448364288,-4477.730255494857,3.2820902664591602,0.3988392921007634,0.0
