phase,magnetic_state,category,source,path,natoms,total_frames,valid_frames,invalid_frames,valid_fraction,finite_energy_fraction,finite_temperature_fraction,finite_pressure_fraction,finite_force_fraction,finite_position_fraction,force_outlier_frames,force_outlier_fraction,force_outlier_threshold_eV_A,median_force_rms_eV_A,target_temperature_K,median_temperature_K,median_temperature_deviation_K,pressure_min_GPa,pressure_median_GPa,pressure_max_GPa,volume_per_atom_A3
BCC,non-magnetic,BCC nonmagnetic,2.39_4000K,dataset/bcc/non-mag/2.39_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.620234123508519,3.6260375039126136,4000.0,3786.497802734375,-213.502197265625,295.0820007324219,315.5149841308594,322.4729919433594,6.825980185101718
BCC,non-magnetic,BCC nonmagnetic,2.39_4500K,dataset/bcc/non-mag/2.39_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.882840989521094,3.975766074898048,4500.0,4274.90771484375,-225.09228515625,295.3830261230469,317.5639953613281,325.2060241699219,6.825980185101718
BCC,non-magnetic,BCC nonmagnetic,2.39_5000K,dataset/bcc/non-mag/2.39_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.318504209161716,4.153886936181788,5000.0,4732.0556640625,-267.9443359375,295.1610107421875,320.5830078125,328.9850158691406,6.825980185101718
BCC,non-magnetic,BCC nonmagnetic,2.39_5500K,dataset/bcc/non-mag/2.39_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.320099939281491,4.453707992753022,5500.0,5264.65087890625,-235.34912109375,294.1659851074219,325.76202392578125,331.4090270996094,6.825980185101718
BCC,non-magnetic,BCC nonmagnetic,2.39_6000K,dataset/bcc/non-mag/2.39_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.79298500622576,4.666152966520123,6000.0,5637.06884765625,-362.93115234375,296.114990234375,330.35400390625,337.6230163574219,6.825980185101718
BCC,non-magnetic,BCC nonmagnetic,2.40_4000K,dataset/bcc/non-mag/2.40_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.7026147971814645,3.748655404112219,4000.0,3932.85693359375,-67.14306640625,278.9200134277344,298.77801513671875,304.1000061035156,6.912033380425209
BCC,non-magnetic,BCC nonmagnetic,2.40_4500K,dataset/bcc/non-mag/2.40_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.629021984804988,3.777588854212922,4500.0,4222.62548828125,-277.37451171875,278.5679931640625,300.9090270996094,308.3800048828125,6.912033380425209
BCC,non-magnetic,BCC nonmagnetic,2.40_5000K-disp,dataset/bcc/non-mag/2.40_5000K-disp.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,17,0.042606516290726815,5.950667912383348,4.323125762559535,5000.0,5100.63330078125,100.63330078125,301.8999938964844,306.18701171875,361.69000244140625,6.912033380425209
BCC,non-magnetic,BCC nonmagnetic,2.40_5000K,dataset/bcc/non-mag/2.40_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.942909448179346,4.167297925976298,5000.0,4702.76123046875,-297.23876953125,277.5350036621094,304.32000732421875,311.385009765625,6.912033380425209
BCC,non-magnetic,BCC nonmagnetic,2.40_5500K,dataset/bcc/non-mag/2.40_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.3697361086145765,4.371244129815911,5500.0,5049.94970703125,-450.05029296875,278.75,306.6020202636719,315.0810241699219,6.912033380425209
BCC,non-magnetic,BCC nonmagnetic,2.40_6000K,dataset/bcc/non-mag/2.40_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.529304709570567,4.55907773854575,6000.0,5718.10693359375,-281.89306640625,278.9519958496094,311.9040222167969,318.89801025390625,6.912033380425209
