atom,label,frac_x,frac_y,frac_z,x_ang,y_ang,z_ang,starting_magnetization,theta_deg,phi_deg,spin_x,spin_y,spin_z
39,A39,0.5385085344,0.2785381079,0.5201781392,5.492786948167574,2.841088647453034,5.305816920623823,0.35,149.7744033851,28.9729943877,0.15414132935803992,0.08534698328120392,-0.3024174978874968
40,A40,0.771052897,0.298204869,0.5076311231,7.8647394023332255,3.041689606921894,5.177837358796978,0.35,84.0104496991,205.6575809694,-0.3137669683253013,-0.15071984361290872,0.03652147764329485
41,A41,0.9922746588,0.5097851157,0.4939725399,10.121201330498494,5.199808082906135,5.038519812762147,0.35,100.4685762853,58.4616824188,0.18002671212783575,0.2933363709377371,-0.06359368211952854
42,A42,0.2337691188,0.521204412,0.5215471387,2.384444967172047,5.316284902988077,5.319780715262707,0.35,72.2703830708,176.8011817576,-0.33285703960969687,0.018602710834917578,0.10658391216248876
43,A43,0.5109424591,0.4996123016,0.5016822219,5.21161298536539,5.096045381026447,5.117158567691641,0.35,30.2255966149,208.9729943877,-0.15414132935803987,-0.0853469832812039,0.3024174978874969
44,A44,0.7613580227,0.5228545666,0.5359902978,7.765851686322377,5.3331164795933335,5.46710093532789,0.35,101.2552380193,228.1613358455,-0.22897230332211677,-0.2557440498763736,-0.06831299484135825
45,A45,0.9752394911,0.7451002002,0.4718639255,9.947442623207696,7.600021899923314,4.8130119500990345,0.35,60.1603046767,150.7146091443,-0.26479577490972717,0.14850769209990541,0.17415126464403521
46,A46,0.271981895,0.7786411643,0.4790347815,2.774215277123533,7.942139727345877,4.886154679931301,0.35,124.5991819449,232.2082636719,-0.17654603487210072,-0.22766957206230157,-0.19874119735954968
47,A47,0.5121251345,0.7321280837,0.5217860937,5.223676274219812,7.46770631409755,5.322218056217129,0.35,35.3703484074,342.0483758356,0.19273754368733642,-0.06244436170238355,0.2853996162312661
48,A48,0.7701305747,0.7334903479,0.5401285887,7.855331715049145,7.481601408677719,5.509311501718574,0.35,79.7875113589,302.6535592159,0.18585344226861303,-0.29001328788954095,0.062054740708551354
49,A49,0.0150719322,0.9823547117,0.7136940956,0.153733705565255,10.020017871970573,7.2796796389935565,0.35,81.4305643056,137.7168019587,-0.2560491452317875,0.23284957663655392,0.05215275530831089
50,A50,0.2381584793,0.021434309,0.7045400143,2.4292164434348424,0.21862994771172706,7.186308011479561,0.35,153.149811156,176.7576959816,-0.1578276896202158,0.008940838053851265,-0.3122666837881358
51,A51,0.4817467928,0.0226138774,0.7329927683,4.913817194674025,0.2306615451667421,7.476526096852624,0.35,120.0460274175,175.7085773326,-0.30211879301601946,0.02267094297051236,-0.1752434399667256
52,A52,0.7832783461,0.0022949053,0.7323127985,7.989438980821405,0.02340803362228124,7.469590405022318,0.35,45.1587408181,327.6847084562,0.2097350033799358,-0.13266732448971943,0.24680074831725649
53,A53,0.0213635843,0.2516701818,0.7334499359,0.21790855578521673,2.567035806357688,7.481189206285426,0.35,144.1044515545,209.0577268226,-0.17937889394250872,-0.09966773537066444,-0.2835305185232189
54,A54,0.2153910249,0.2154939771,0.7141617537,2.196988412897393,2.1980385253177563,7.284449751524358,0.35,121.3709957876,18.5293015374,0.28334381865962377,0.09496667013413276,-0.18220211851407503
